[2018-05-07 21:46:36,178][INFO] ## 2018-05-07T21:46:36.178212: step 141, loss 50.8246, acc 0.40625
[2018-05-07 21:46:36,468][INFO] ## 2018-05-07T21:46:36.468367: step 142, loss 55.1406, acc 0.21875
[2018-05-07 21:46:36,748][INFO] ## 2018-05-07T21:46:36.748516: step 143, loss 51.1276, acc 0.296875
[2018-05-07 21:46:37,041][INFO] ## 2018-05-07T21:46:37.041216: step 144, loss 52.1093, acc 0.3125
[2018-05-07 21:46:37,331][INFO] ## 2018-05-07T21:46:37.331371: step 145, loss 52.8411, acc 0.328125
[2018-05-07 21:46:37,611][INFO] ## 2018-05-07T21:46:37.611520: step 146, loss 54.0619, acc 0.28125
[2018-05-07 21:46:37,904][INFO] ## 2018-05-07T21:46:37.904303: step 147, loss 54.7514, acc 0.21875
[2018-05-07 21:46:38,184][INFO] ## 2018-05-07T21:46:38.184452: step 148, loss 51.147, acc 0.421875
[2018-05-07 21:46:38,474][INFO] ## 2018-05-07T21:46:38.474606: step 149, loss 50.2403, acc 0.359375
[2018-05-07 21:46:38,764][INFO] ## 2018-05-07T21:46:38.764761: step 150, loss 52.2832, acc 0.3125
[2018-05-07 21:46:39,066][INFO] ## 2018-05-07T21:46:39.066208: step 151, loss 52.6338, acc 0.390625
[2018-05-07 21:46:39,356][INFO] ## 2018-05-07T21:46:39.356363: step 152, loss 50.9835, acc 0.40625
[2018-05-07 21:46:39,636][INFO] ## 2018-05-07T21:46:39.636511: step 153, loss 48.1785, acc 0.375
[2018-05-07 21:46:39,927][INFO] ## 2018-05-07T21:46:39.927806: step 154, loss 54.3788, acc 0.3125
[2018-05-07 21:46:40,217][INFO] ## 2018-05-07T21:46:40.217961: step 155, loss 53.5823, acc 0.28125
[2018-05-07 21:46:40,498][INFO] ## 2018-05-07T21:46:40.498110: step 156, loss 53.8469, acc 0.3125
[2018-05-07 21:46:40,788][INFO] ## 2018-05-07T21:46:40.788265: step 157, loss 50.6799, acc 0.390625
[2018-05-07 21:46:41,079][INFO] ## 2018-05-07T21:46:41.079192: step 158, loss 51.7835, acc 0.328125
[2018-05-07 21:46:41,369][INFO] ## 2018-05-07T21:46:41.369346: step 159, loss 53.9145, acc 0.328125
[2018-05-07 21:46:41,659][INFO] ## 2018-05-07T21:46:41.659501: step 160, loss 52.0194, acc 0.28125
[2018-05-07 21:46:41,942][INFO] ## 2018-05-07T21:46:41.942354: step 161, loss 52.1478, acc 0.359375
[2018-05-07 21:46:42,232][INFO] ## 2018-05-07T21:46:42.232510: step 162, loss 50.3831, acc 0.359375
[2018-05-07 21:46:42,522][INFO] ## 2018-05-07T21:46:42.522664: step 163, loss 49.7041, acc 0.390625
[2018-05-07 21:46:42,812][INFO] ## 2018-05-07T21:46:42.812818: step 164, loss 52.6091, acc 0.390625
[2018-05-07 21:46:43,108][INFO] ## 2018-05-07T21:46:43.108724: step 165, loss 50.1327, acc 0.421875
[2018-05-07 21:46:43,388][INFO] ## 2018-05-07T21:46:43.388873: step 166, loss 52.8481, acc 0.328125
[2018-05-07 21:46:43,679][INFO] ## 2018-05-07T21:46:43.679027: step 167, loss 53.3819, acc 0.3125
[2018-05-07 21:46:43,971][INFO] ## 2018-05-07T21:46:43.971892: step 168, loss 52.5503, acc 0.328125
[2018-05-07 21:46:44,262][INFO] ## 2018-05-07T21:46:44.262048: step 169, loss 52.7629, acc 0.234375
[2018-05-07 21:46:44,552][INFO] ## 2018-05-07T21:46:44.552202: step 170, loss 51.1849, acc 0.265625
[2018-05-07 21:46:44,843][INFO] ## 2018-05-07T21:46:44.843683: step 171, loss 52.2771, acc 0.40625
[2018-05-07 21:46:45,128][INFO] ## 2018-05-07T21:46:45.128607: step 172, loss 52.727, acc 0.28125
[2018-05-07 21:46:45,418][INFO] ## 2018-05-07T21:46:45.418762: step 173, loss 51.4803, acc 0.3125
[2018-05-07 21:46:45,708][INFO] ## 2018-05-07T21:46:45.708916: step 174, loss 49.1987, acc 0.375
